"Classical"	"Basal"	"Exo"	"hgnc_symbol"
"CRB3"	1.38604502518452	0.00724308951289612	-1.66112615495088	"CRB3"
"OLFM1"	-0.48496430704305	0.081187206645973	0.381898186785676	"OLFM1"
"RGN"	-0.380495702480722	0.233561688625466	0.192317171626759	"RGN"
"ACSS2"	1.31755897513131	0.082086023807483	-1.64402667298703	"ACSS2"
"FMO5"	1.78714714038493	-1.78849019776491	-1.11095201695757	"FMO5"
"NR0B2"	1.35628900212125	-1.49507347183353	-0.772323522061113	"NR0B2"
"RAB25"	1.16872880531423	0.459908191286536	-1.86145684521897	"RAB25"
"ZBED3"	0.0375911307353043	0.48708172977631	-0.391553950162663	"ZBED3"
"SYT6"	-0.742622726813187	-1.04949729755611	0.978883189962129	"SYT6"
"VAV3"	-0.0814426644624093	-0.111805330900466	0.138830093229473	"VAV3"
"ERN2"	2.16366469140731	-0.872638513439409	-2.06281688127727	"ERN2"
"SPX"	-2.7429304284522	-1.3603716689742	2.56783472131757	"SPX"
"PIWIL4"	1.30219259323918	-0.37174382064097	-1.22208745982037	"PIWIL4"
"DTNA"	-0.934046920334711	0.692605468458485	0.301016051527561	"DTNA"
"KLB"	-1.51432794302152	0.0472717567849796	1.11956393307392	"KLB"
"ANXA1"	-0.663266780086503	2.38288549439648	-1.97093146962419	"ANXA1"
"UGT2A3"	1.36328072836423	-1.53295791788647	-0.716805294045404	"UGT2A3"
"AMHR2"	-0.830952939407424	-1.13306208937145	1.07351310966521	"AMHR2"
"KCNK1"	1.28564362828811	0.497090828767045	-2.12149963204975	"KCNK1"
"ABHD17C"	1.59241195599537	0.08542993663305	-2.11246489324609	"ABHD17C"
"KLC4"	1.27622761782171	-0.0623245716842547	-1.43973178271418	"KLC4"
"CLPS"	-4.74646603150723	-4.61931840567825	5.3562565922223	"CLPS"
"RDX"	-0.993671807222339	1.76790414499726	-0.720256542999305	"RDX"
"FXYD2"	-0.933629452276263	-1.09345747104365	1.35935846034981	"FXYD2"
"CUZD1"	-3.45506069955617	-2.39248184132063	3.64832838753016	"CUZD1"
"TACC2"	1.13734048202781	0.0578418802737007	-1.35621059047269	"TACC2"
"EXOC6"	0.856146830781062	0.0735911696844613	-0.990481810790398	"EXOC6"
"AOX1"	-1.07446366642718	-0.0714812764837264	0.936449614165274	"AOX1"
"GUCA1C"	-3.1360054944712	-2.61357234919908	3.28578455629803	"GUCA1C"
"ERP27"	-2.00099822586824	-0.341327882233959	1.70364565301514	"ERP27"
"PDX1"	0.997132424939397	-1.07560124454619	-0.486786467114232	"PDX1"
"GALNT6"	1.75279293096852	-0.345979138449812	-1.89197973231244	"GALNT6"
"SLAIN1"	1.07220290849335	-0.393694673953406	-0.922990707854686	"SLAIN1"
"FITM1"	-0.195304775128879	0.193734358175763	0.069982942554738	"FITM1"
"TSPAN3"	1.21916117855865	0.187819167933946	-1.61315176746635	"TSPAN3"
"SH3GL3"	-0.505267828944705	0.803113132505757	0.000301141881922524	"SH3GL3"
"CTRL"	-2.4860267550359	-2.33679282397382	2.75379452967036	"CTRL"
"IMPA2"	1.13278106175084	-0.338054040002696	-1.02653540642659	"IMPA2"
"SLC16A3"	-0.236943089598949	2.03808513725712	-2.00848737463733	"SLC16A3"
"HUNK"	0.0434951808856253	0.0442672605752906	-0.076836995746654	"HUNK"
"TM4SF5"	2.48716834325501	-1.80291818500271	-1.95746133525512	"TM4SF5"
"MPC2"	0.789896715304281	-0.00373884990020765	-0.852149067955683	"MPC2"
"PVRL4"	0.907965029776734	1.02955675018531	-2.28133930673577	"PVRL4"
"MLK4"	0.697012218383786	-0.104039437385136	-0.667242252379045	"MLK4"
"ETNK2"	-0.908250486254913	1.88281693157771	-0.907313798754363	"ETNK2"
"REG3G"	-4.51223041698924	-4.08914469765689	5.01122017188896	"REG3G"
"CAND2"	-0.355685100150145	0.472666517053755	0.000617271168309919	"CAND2"
"NR1I2"	2.80877686384115	-1.14478258808419	-2.84964257126928	"NR1I2"
"SCD5"	-0.409204765013143	0.461825741744499	0.0490345912870372	"SCD5"
"IQGAP2"	1.33599311376711	-0.946446163747371	-0.914608250539833	"IQGAP2"
"DCDC2"	-0.166442735822624	-1.03340814179257	0.663336416125105	"DCDC2"
"SLC17A4"	-0.549058986633581	-0.965425300088749	0.949895134087314	"SLC17A4"
"CYP39A1"	-0.211842543280112	0.1181708732595	0.110817312325111	"CYP39A1"
"PNLDC1"	-0.427320080795295	-0.220663127815424	0.429981127228138	"PNLDC1"
"VIP"	-2.02502342797112	-0.156853146323148	1.60568845490411	"VIP"
"SDK1"	-0.786751480295225	1.28107438300333	-0.346923529116315	"SDK1"
"TRIM50"	-1.38084861251542	-1.73013785580446	1.74446677189898	"TRIM50"
"CHRNB3"	-1.17553421240605	-0.920101560815823	1.23128701795236	"CHRNB3"
"VLDLR"	-0.560517521884384	1.51492390071587	-0.806974594078386	"VLDLR"
"NTRK2"	-0.713638526046199	-0.0217951133186082	0.637324424583031	"NTRK2"
"A1CF"	0.996014608788481	-1.14791063818727	-0.481219408006458	"A1CF"
"CAPN5"	1.77758167343607	-0.224558791115326	-2.0656913520224	"CAPN5"
"GGTLC1"	-0.00094810760304809	-0.312203148226092	0.083592246254379	"GGTLC1"
"CDH22"	-0.903968785651053	-0.363297332093891	0.968607447194277	"CDH22"
"GPHA2"	-3.06766787945579	-1.68838281981363	2.9565683182048	"GPHA2"
"PDCD4"	0.146837256503963	0.359740083292462	-0.40646239017161	"PDCD4"
"INPP1"	1.25450210338586	0.235619868787914	-1.71236991632851	"INPP1"
"SH2D6"	1.45897961792161	-1.31640170640018	-0.985455399277436	"SH2D6"
"SLC16A12"	-1.70933894312005	1.00158640365437	0.574125967388204	"SLC16A12"
"HHEX"	-0.137372969305457	-0.30002632815819	0.301656187431812	"HHEX"
"CPB1"	-4.47309922026262	-3.40671872289639	4.7104536295315	"CPB1"
"KCNJ16"	-1.17829747728792	-1.06212468592016	1.53526528292554	"KCNJ16"
"CEBPG"	0.984104758578131	0.577666195593916	-1.69733038187247	"CEBPG"
"CHST9"	-1.20362285381189	0.124619488186418	0.908153381471476	"CHST9"
"C16orf74"	-2.32951526863249	3.8943591433325	-2.56892321273831	"C16orf74"
"FAM134B"	1.2401763980603	-0.489160527125334	-1.06012026746693	"FAM134B"
"C4orf19"	1.09686076976806	-0.174471361887308	-1.09848366842914	"C4orf19"
"ACSS1"	1.09472200702982	-0.816696462135779	-0.699559709980247	"ACSS1"
"MCU"	1.26891996897594	0.303023438503231	-1.82238561699619	"MCU"
"ART3"	-0.81904599130943	-1.53755259649588	1.21082544109137	"ART3"
"TMED6"	-0.63586896460234	-0.670968621336765	0.86842966170701	"TMED6"
"ARSE"	1.01358861208254	-0.581967370354769	-0.733098265006502	"ARSE"
"CREB3L1"	1.60525795462508	-0.295180762366567	-1.71437230818348	"CREB3L1"
"SLC30A2"	-1.50195592812511	-1.21059004597419	1.8272145678604	"SLC30A2"
"CPA2"	-4.18631944648464	-3.8526911538766	4.71819742056134	"CPA2"
"SLC45A3"	1.66783441436525	-0.122424901429397	-1.98582345902492	"SLC45A3"
"BTG2"	0.796942639755378	-0.155743387790147	-0.746362539311874	"BTG2"
"LRRC36"	0.699339794881616	-0.683822030513754	-0.39136506765429	"LRRC36"
"TFF1"	3.14347953334542	-1.71098544179539	-2.9526413370753	"TFF1"
"SLC37A1"	1.28161320583203	0.136526671666899	-1.64737952006796	"SLC37A1"
"FGFR4"	1.10288600281627	-1.217085235291	-0.53081345469035	"FGFR4"
"BDH1"	1.51513614211026	0.121058326287245	-1.99490592077491	"BDH1"
"NPHS1"	-0.848014574458878	-0.714113374286889	1.04260063662377	"NPHS1"
"ASRGL1"	0.537729874273621	-0.584756107647378	-0.21816673805913	"ASRGL1"
"CTRC"	-4.43889408989605	-3.61739244524648	4.78429205883036	"CTRC"
"DIRAS3"	0.0242812126134187	0.369189573404032	-0.274053982717721	"DIRAS3"
"HFM1"	-0.404588707935934	0.396316047404623	0.11251363044918	"HFM1"
"C1orf115"	1.16148738590366	-0.224092097845749	-1.14866322455676	"C1orf115"
"PKDCC"	1.49282118379353	-0.756191257753625	-1.21063096625908	"PKDCC"
"HAAO"	0.0969189637225027	0.615239500461475	-0.542680401564334	"HAAO"
"ADCK3"	0.427521199046058	0.145553472069163	-0.543196825185219	"ADCK3"
"NOSTRIN"	0.925349301174937	-0.445021653578943	-0.712592116995628	"NOSTRIN"
