GeneSymbol	Desnoplastic	Stroma Activated	Immune classical	Pure classical	pure basal-like
PLOD1	7.10561115636999	7.40126849533874	6.53567215574036	6.92382816047868	7.57620005978694
FSTL1	8.20992460326459	8.00172175412271	7.70432479924205	7.473277700565	7.56955363494401
AHNAK2	6.07457513148838	7.2340461793444	5.26875404020823	6.54418460184942	7.56311151077624
DCBLD2	6.43683791391455	6.99553636926476	5.25754061036792	5.56718039735231	7.51186299769157
TIMP3	8.07666090052843	8.18455146130451	7.37994105039649	7.27124194643945	7.49101074882733
ENO1	6.56370043205249	6.9088889313166	6.09567115469982	6.77279963842895	7.46556508501971
MIF	6.6330093963622	7.09791487389911	6.31522602005729	6.85101612619552	7.44570463321183
ATP1B1	7.31824893350611	7.7969015481443	7.70475268046234	8.48030720415943	7.44113186865912
S100A4	6.5162382856046	7.42728529377458	5.94296940793479	6.78281998742766	7.41198223637678
HTRA1	7.72018186663634	7.90685120472688	6.68716712040141	7.13125979684186	7.41163701321142
TGFB1I1	7.50424008163785	7.59022575863802	6.87411960837023	7.05444568377697	7.35946530941303
TGFBI	6.75176590846095	7.23816988722909	6.1040109779502	6.39624329447168	7.35334144484625
LOXL2	6.47990958594562	7.29865930689844	5.5900800967187	6.18468867188602	7.33296931141715
ENO2	6.07897684468031	6.90900447281621	5.64541335519056	6.31864761273419	7.32299947965252
SERPINF1	8.38077101687616	7.82608320258415	7.31737786737128	7.38835741381218	7.30702086218632
NDRG1	6.2964581685009	6.60955183452618	6.16514799597352	6.52410391665064	7.28215550560469
NOP10	6.86843835225053	7.18265558625391	6.32239023070067	7.15335318916272	7.23155239891432
GSTO1	6.80990594999777	6.93478824970531	6.19240184000019	6.79908188702265	7.21299421565782
SFRP2	8.75307764387466	8.1692793096477	7.28192947154526	7.1975202777114	7.1796343493177
DRAP1	6.70014875215766	6.86053180460262	6.47289635976272	6.66132419710336	7.07968709543942
UBE2S	6.09642479876158	6.43029514978079	6.05069516491294	6.49330570616332	7.06780732389836
SEMA4B	5.80958221808204	6.44472057830662	5.53658294998992	6.46020187197478	7.06263476615659
PDLIM7	7.01539657933538	7.11045542044613	6.12683197338252	6.63484591901854	7.01537110584252
SEC61G	6.38061854938938	6.64113876930523	5.96186917239697	6.39674356718111	7.00066279454491
SLC16A3	5.77676247950722	6.41958298160938	5.11245047063712	5.86913257451231	6.99973561183408
PXDN	7.05996957794093	7.14306722422899	6.06183519724768	6.33148430381366	6.98514502033001
S100A2	4.19352346054804	5.26086060313353	4.09803158907156	4.33340151917504	6.98225844030476
PSMA7	6.42752344095832	6.63559249407518	6.23849111637157	6.64916967540934	6.98012309990528
ATP5H	6.53065353992537	6.68883775335288	6.33223066982007	6.65129800258016	6.97930326966622
TMEM158	6.34586241810227	7.00015826799337	6.00669843097972	6.02734597738615	6.96513548672906
EFEMP1	7.83625745026962	7.08497093942458	6.77818300482248	6.63825381713279	6.93934006679798
MYO1E	7.01153042345245	7.34868614487114	6.3961102081417	7.13084027012949	6.92476499297322
COL10A1	7.68379800082224	8.06604509102006	7.15088624694137	6.90554318611993	6.92030559278823
BTG2	8.59705410631161	7.53016012701762	8.48955427772113	8.11738277633535	6.8944017564098
ADAMTS2	7.12586761041748	7.18489993826755	6.29750141456632	6.36783031594725	6.87504652410946
FAP	7.1097610689023	7.20520203850241	6.11750058457065	6.20394533354708	6.83541823125549
RAB25	6.17007656320555	6.93933860363138	6.35933748055636	7.44519577860309	6.82765530046675
IGF2BP2	5.30586415561143	6.1582324677477	5.25051948922626	5.98944723817953	6.7864926505131
NQO1	6.26630537574171	7.09632544195702	6.61537626143735	7.70556491819725	6.7583378203799
KRT6A	4.10926959845638	4.87485927117372	2.60149595228477	3.603191829396	6.74205277814591
CTSE	8.06233752646242	8.9022557671169	8.69860456137437	9.70965618277401	6.72386244832864
CCT7	6.26132371546215	6.44061105935382	5.97729592650178	6.46267753149611	6.72139377920122
CNN3	7.33185978011469	7.06647492956049	6.66165500794134	6.44555861703746	6.69534645631368
HSPB6	8.94459511386188	7.98152224415313	8.3940314160889	7.89307413357492	6.69453047914573
SOD3	8.13849733812839	7.43607002038936	8.22199598521294	7.72147439939835	6.68885935308757
PPP1R14B	6.04669627966364	6.2779806955336	5.77447554652077	6.10496553468904	6.67957182871139
STIP1	5.97734229156126	6.34362501533054	5.55334951866193	6.2287011887111	6.67891365518535
A2M	7.75798712642112	7.34025371801512	7.32074524220485	7.31941053177787	6.67828043679222
FYN	7.23220877690825	6.82715898739806	6.68670015875291	6.61556989492943	6.67536073566288
ERRFI1	5.86928632448021	6.04613911784836	5.27970025109034	5.50546466694461	6.6622432715188
RNF181	6.11174743065597	6.35774264910811	5.73914483643131	6.2223528231169	6.65039317260077
TEAD3	6.54725474816019	6.76480607241849	6.28404391722666	6.56844814944565	6.64194646667045
PECAM1	7.43781786565292	6.86271890976343	6.78645676984463	6.75999373884697	6.63878850808208
LYZ	8.08035330813268	7.9501389826684	8.72242636764245	9.3372138644058	6.63721885575798
CXCL12	8.17888259056079	7.03560751087665	6.9832632406244	6.74357218638553	6.63597204212422
PDLIM3	7.08491433913145	6.81733298779796	5.74121555084539	6.14123682323585	6.62977697742481
CHST11	6.34802757726869	6.48915917193717	5.52499582866302	5.63059500436167	6.62828545518728
EIF3D	6.25761600614504	6.30039775604877	6.07660785553248	6.22100486312924	6.62308815282539
MARCKSL1	6.66830034976374	7.00378437556166	7.11226508899044	7.57463685300153	6.61117889750381
MYOF	6.33535523332857	6.5712026183786	5.43063186250752	6.11753052948676	6.60332812974591
EPHA2	5.51860548216918	6.12832504835894	5.25572034293443	6.22608532984186	6.59220803150815
RCN3	6.72273206431737	6.74756584890161	6.11450139826434	6.15534562859674	6.55978597192408
CDCP1	5.0978665043527	5.91574186947473	4.96303975809356	5.77163253064645	6.51966956274228
PLAU	5.38343910883406	5.96203126898968	4.04900780494936	4.84545653309428	6.50309621913102
PFKP	5.67409879437062	6.32529859590925	5.38112736180199	5.99900282638829	6.47425733513919
ITGB5	6.35038188316712	6.70539021339318	5.89139245215287	6.2959723926151	6.47348359945116
