"Classical"	"Basal"	"Exo"	"Imm"	"hgnc_symbol"
"POLDIP2"	0.218343222886824	0.0263322391438582	-0.225229361881713	-0.349991966234946	"POLDIP2"
"PLXND1"	-0.658602997386246	0.297214659763941	-0.0200641815880346	0.675694973976104	"PLXND1"
"CD38"	-1.13112520182865	-0.777927965434298	0.542703784566959	1.84325540754146	"CD38"
"KDM1A"	-0.0308811572502201	0.295237306939019	-0.327935328195694	-0.216244896347485	"KDM1A"
"CAMKK1"	-0.339053684840945	-0.399825071045372	0.193616880296078	0.874506313679052	"CAMKK1"
"RECQL"	-0.602993686846285	0.34970862814295	-0.0974111228360358	0.569682038852654	"RECQL"
"HSPB6"	-1.07883219092301	-1.34717880593921	1.85356769241591	1.21989053707177	"HSPB6"
"PDK4"	-0.839923713217756	-1.22597943507607	1.45300182421028	1.23563874370975	"PDK4"
"SLC22A16"	-0.386550229701826	-0.562360074528717	-0.0876847696372583	1.22444439958693	"SLC22A16"
"ABCB5"	-0.626581565512932	-0.573445713417471	0.324678291121656	1.32444124778604	"ABCB5"
"ARX"	-0.697512456584724	-1.53982461643138	-0.162660410548716	2.1209551720143	"ARX"
"SLC25A13"	0.441603301170525	-0.282159050411049	-0.281584039121807	-0.304811739781103	"SLC25A13"
"CDC27"	-0.196657790508076	0.119528566631238	-0.14636380617362	0.265033756921682	"CDC27"
"HCCS"	0.423769322292549	-0.260863023383573	-0.349324350580936	-0.258421355959897	"HCCS"
"PRSS22"	0.711716232247856	0.15956186265967	-1.2779896218173	-1.44164775296559	"PRSS22"
"UPF1"	0.376036456419744	-0.248346136375121	-0.303323834770954	-0.205727077560878	"UPF1"
"SLC25A5"	0.491928788104145	-0.42223275007693	-0.16800172268318	-0.279377859993178	"SLC25A5"
"CCDC109B"	-0.124119160969366	-0.140350506239624	-0.425873220104951	0.584157092329294	"CCDC109B"
"POLR2J"	0.541263182093283	-0.219100183269487	-0.607175494246368	-0.441393021186033	"POLR2J"
"MEOX1"	-0.559686251149526	-1.3072737998224	0.992978011135071	1.3131763315621	"MEOX1"
"THSD7A"	-0.939524371850599	-0.589790635390651	0.702380543122824	1.45998324338091	"THSD7A"
"ACSM3"	0.60043718122341	-1.07455998628733	1.18652865198374	-1.18074991560837	"ACSM3"
"SPPL2B"	0.794893180329219	-0.635411677388775	-0.530692084114667	-0.414313374781517	"SPPL2B"
"COPZ2"	-0.634132272820014	0.0246004556259112	0.0647776678255259	0.903781378568918	"COPZ2"
"PRKAR2B"	-1.02274819234677	-0.703953056956041	0.992306628020327	1.44652132481427	"PRKAR2B"
"MSL3"	-0.169241892787747	-0.236064455366871	-0.100535796576966	0.616981880413937	"MSL3"
"MPO"	-0.465836948259533	-0.53509606201001	0.0996238119310185	1.21269895355716	"MPO"
"WDR54"	-0.133834143698901	0.494094545200858	-0.729828889979688	-0.160561385813391	"WDR54"
"ABCB4"	-0.420052345224058	-0.627428399511686	-0.540496352371344	1.44892532377013	"ABCB4"
"ZNF195"	0.528286747900409	-0.411403568378955	-0.380942772464065	-0.240141527494722	"ZNF195"
"MYCBP2"	-0.380777282180099	-0.348392355195081	0.102278044179019	0.917952125112723	"MYCBP2"
"ITGAL"	-0.996617742138105	-1.21311757057983	0.312728291010509	2.03578789023271	"ITGAL"
"ITGA3"	-0.365355176823257	1.25457675882981	-1.02149988393362	-1.34960922935748	"ITGA3"
"ZFX"	-0.108864416531048	-0.318588744653821	0.15190617086177	0.488577554962221	"ZFX"
"GDE1"	0.0319740355005431	0.215326555016324	-0.242691993598098	-0.25918058537466	"GDE1"
"CRLF1"	-1.19369732812508	0.7064235614004	-0.58014517241535	1.03700744455376	"CRLF1"
"OSBPL7"	1.29259845490204	-0.830768697249059	-0.774022863868339	-1.19807926574614	"OSBPL7"
"TMEM98"	0.643385654880887	-0.966896993693986	0.185080081699895	-0.162311690175984	"TMEM98"
"MAP3K14"	-0.211033224593429	-0.352067579898698	0.25718263474406	0.618597865558124	"MAP3K14"
"ABCC8"	-1.16040036919616	-1.31281351637406	0.560690894887868	2.11397365411777	"ABCC8"
"TMEM132A"	-0.450832972086325	0.812261371411243	-0.662079528840692	-0.14084324560484	"TMEM132A"
"CACNA1G"	-1.38672816448131	-0.281187997565765	0.211684700772339	1.87261206839708	"CACNA1G"
"TNFRSF12A"	0.111258084962483	0.52425898791121	-1.27851164005566	-0.552829200147022	"TNFRSF12A"
